Файл,Заголовок,Аннотация
article_74.txt,Neural Block Linearization,Abstract The high inference demands of transformer-based Large Language Models (LLMs)
article_60.txt,Information,Abstract. AIXI is a widely studied model of artificial general intelligence (AGI) based upon
article_48.txt,Reinforcement Learning requires Inference Strategies,"Abstract Reinforcement learning (RL) systems have countless applications, from energy-"
article_118.txt,Cooperation of Experts: Fusing Heterogeneous Information with Large Margin,Abstract Fusing heterogeneous information remains a per-
article_124.txt,FM-Planner: Foundation Model Guided Path,Abstract —Path planning is a critical component in autonomous
article_130.txt,Optical tweezer (OT)-Driven Microrobotics Simulation Platform,Abstract — Optical tweezers (OT) offer unparalleled capabili-
article_131.txt,Alfin Wijaya Rahardja∗,Abstract LLM-based agent systems are emerging as a new software paradigm and have been
article_125.txt,Long Sequences,Abstract Speculative decoding is a widely adopted
article_119.txt,Risks in Medical LLM Multi-Agent Systems,"Abstract As large language models (LLMs) are increasingly deployed in healthcare, ensur-"
article_49.txt,PSRB: A Comprehensive Benchmark for,Abstract Although Automatic Speech Recognition (ASR) systems have become an inte-
article_61.txt,Synthetic Time Series,"Abstract The growing need for synthetic time series, due to data augmentation or privacy"
article_75.txt,Preference Modeling,Abstract Text-to-image (T2I) models raise ethical and safety concerns due to their potential
article_88.txt,FEDERATED GENERALIZED METHOD OF MOMENTS,ABSTRACT Instrumental variables (IV) analysis is an important applied tool for areas such as healthcare and
article_63.txt,GGBond: Growing Graph-Based AI-Agent Society,Abstract —Current personalized recommender systems pre-
article_77.txt,Fatemeh Pesaran zadeh1Yoojin Oh1Gunhee Kim1∗,Abstract Aligning large VLMs with human preferences
article_133.txt,RRO: LLM Agent Optimization Through Rising Reward,Abstract Large language models (LLMs) have exhibited extraordinary performance
article_127.txt,CogniBench: A Legal-inspired Framework and Dataset for Assessing,Abstract Faithfulness hallucination are claims generated
article_126.txt,Self-Optimized Fine-Tuning for LLM-based Recommender Systems,Abstract Recent years have witnessed extensive explo-
article_132.txt,Comprehension of Earth Science,Abstract The rapid advancement of multimodal large language models (MLLMs) has un-
article_76.txt,of Flexible Reasoning,Abstract Reinforcement learning (RL) has played an important role in improving the rea-
article_62.txt,"Saisamarth Rajesh Phaye1, Milos Cernak1, Andrew Harper1",Abstract Conventional methods for speech enhancement rely on
article_89.txt,VIAHYPERGRAPH NEURAL NETWORKS,ABSTRACT Binary (0-1) integer programming (BIP) is pivotal in scientific domains requiring discrete decision-
article_99.txt,Abductive Reasoning in Knowledge Graphs,Abstract Abductive reasoning in knowledge graphs aims to generate plausible logical hy-
article_66.txt,Department of Intelligent Systems,Abstract Estimating epistemic uncertainty in value functions is a crucial challenge for
article_72.txt,Large Language Models (LLMs),Abstract System prompts in Large Language Models (LLMs) are predefined
article_136.txt,Retrieval-Augmented Collaborative Signals,Abstract User-item interactions contain rich collaborative signals that form
article_122.txt,Voice Conversion,Abstract Controlling singing style is crucial for achieving an expres-
article_123.txt,Rendering-Aware Reinforcement Learning for,Abstract Scalable Vector Graphics (SVG) offer a powerful format for representing visual
article_137.txt,Jigsaw-Puzzles: From Seeing to Understanding to Reasoning in,Abstract Spatial reasoning is a core component of hu-
article_73.txt,Stochastic Reachability and Safety Games,Abstract —We consider two-player zero-sum concurrent stochas-
article_67.txt,Yi-Cheng Lin*Kang-Chieh Chen∗Zhe-Yan Li∗Tzu-Heng Wu∗,Abstract Large language model (LLM)-driven multi-
article_98.txt,PyRML,Abstract. KnowledgeGraphs(KGs)areincreasinglyadoptedasafoun-
article_59.txt,"Rochelle Choenni1andIvan Titov1,2",Abstract Multilingual LLM performance is often criti-
article_71.txt,Cultural Knowledge,"Abstract In this work, we introduce BLUCK , a new"
article_65.txt,Jintao Zhang1Xiaoming Xu1Jia Wei1Haofeng Huang1Pengle Zhang1Chendong Xiang1,Abstract The efficiency of attention is critical because
article_121.txt,Knowledge Graph,"Abstract In knowledge graph embedding, leveraging"
article_135.txt,E2E Process Automation Leveraging Generative AI and IDP -Based,ABSTRACT: This paper presents an intelligent work automation approach in the context of contemporary digital
article_109.txt,Reinforcement Learning-based,ABSTRACT Modern navigation systems and shared mobility platforms increasingly rely on personalized
article_108.txt,Yoojin Kwon1*Hongjun Suh1*Wooseok Lee1*Taesik Gong2Songyi Han3Hyung-Sin Kim1,Abstract Modern on-device neural network applications must op-
article_134.txt,approximately linear functions,Abstract. We consider a bandit optimization problem for non-convex
article_120.txt,MT-M OL: Multi Agent System with Tool-based Reasoning,Abstract Large language models (LLMs) have large
article_64.txt,Heterogeneous Graphs,Abstract Heterogeneous graph neural networks (HGNNs) have recently
article_70.txt,Stephen Chung∗,Abstract Recent studies show that the reasoning capabilities of Large Language Models
article_58.txt,modeling uncertainty,Abstract Although LabelDistribution Learning (LDL) has promising representation capa-
article_7.txt,"Uri Gadot1,2Rinon Gal2Yftah Ziser2Gal Chechik2Shie Mannor1,2",Abstract Text-to-image generation has evolved beyond single monolithic models to complex
article_17.txt,Deployment,Abstract This paper introduces a comprehensive frame-
article_147.txt,Training Bottlenecks through Policy Modulation,Abstract While reinforcement learning (RL) has achieved notable success in various do-
article_153.txt,Backtracking Mechanism,Abstract Graphical User Interface (GUI) agents have
article_184.txt,Interpretable ECG Classification with Transformer,Abstract —Electrocardiogram (ECG) interpretation is funda-
article_190.txt,by Reading User Manuals,"Abstract: Operating home appliances, among the most common tools in every"
article_191.txt,in Complex Urban Environments,Abstract Landing safely in crowded urban environments remains an essential yet chal-
article_185.txt,"Chenghao Qian1, Wenjing Li1, Yuhu Guo2, Gustav Markkula1","Abstract In this work, we present WeatherEdit, a novel weather"
article_152.txt,AUTOREPRODUCE : Automatic AI Experiment,Abstract Efficient experiment reproduction is critical to accelerating progress in artificial
article_146.txt,GIFARC: Synthetic Dataset for Leveraging,Abstract The Abstraction and Reasoning Corpus (ARC) poses a stringent test of general AI
article_16.txt,Applications in Industry,Abstract —Low Code Development (LCD) is a popular way
article_6.txt,Robust Hypothesis Generation: LLM-Automated,Abstract Automating robust hypothesis generation in open environments is pivotal for AI
